beach_id,council,site,date,beachbugs
26,Randwick Council,Coogee Beach,16/12/2016,1200
26,Randwick Council,Coogee Beach,21/02/2016,780
26,Randwick Council,Coogee Beach,23/02/2013,630
26,Randwick Council,Coogee Beach,08/10/2014,620
26,Randwick Council,Coogee Beach,10/06/2014,570
26,Randwick Council,Coogee Beach,28/12/2014,450
26,Randwick Council,Coogee Beach,04/04/2016,450
26,Randwick Council,Coogee Beach,27/02/2015,420
26,Randwick Council,Coogee Beach,09/01/2018,360
26,Randwick Council,Coogee Beach,16/09/2013,290
26,Randwick Council,Coogee Beach,30/06/2013,270
26,Randwick Council,Coogee Beach,05/11/2015,230
26,Randwick Council,Coogee Beach,22/05/2015,200
26,Randwick Council,Coogee Beach,22/02/2015,180
26,Randwick Council,Coogee Beach,06/04/2014,160
26,Randwick Council,Coogee Beach,17/03/2015,140
26,Randwick Council,Coogee Beach,11/11/2015,140
26,Randwick Council,Coogee Beach,21/06/2016,140
26,Randwick Council,Coogee Beach,03/03/2017,140
26,Randwick Council,Coogee Beach,09/06/2016,130
26,Randwick Council,Coogee Beach,01/03/2013,110
26,Randwick Council,Coogee Beach,11/02/2013,110
26,Randwick Council,Coogee Beach,13/03/2014,110
26,Randwick Council,Coogee Beach,17/02/2014,110
26,Randwick Council,Coogee Beach,22/12/2015,110
26,Randwick Council,Coogee Beach,24/07/2017,96
26,Randwick Council,Coogee Beach,28/10/2013,94
26,Randwick Council,Coogee Beach,17/12/2015,90
26,Randwick Council,Coogee Beach,24/06/2013,84
26,Randwick Council,Coogee Beach,12/06/2013,84
26,Randwick Council,Coogee Beach,25/03/2013,82
26,Randwick Council,Coogee Beach,04/09/2015,80
26,Randwick Council,Coogee Beach,03/04/2017,80
26,Randwick Council,Coogee Beach,08/06/2017,76
26,Randwick Council,Coogee Beach,27/08/2014,72
26,Randwick Council,Coogee Beach,16/03/2016,71
26,Randwick Council,Coogee Beach,04/12/2017,69
26,Randwick Council,Coogee Beach,04/12/2014,66
26,Randwick Council,Coogee Beach,17/04/2015,66
26,Randwick Council,Coogee Beach,29/12/2016,66
26,Randwick Council,Coogee Beach,24/08/2018,65
26,Randwick Council,Coogee Beach,21/07/2016,61
26,Randwick Council,Coogee Beach,16/05/2017,61
26,Randwick Council,Coogee Beach,13/02/2018,61
26,Randwick Council,Coogee Beach,22/05/2017,60
26,Randwick Council,Coogee Beach,27/10/2017,60
26,Randwick Council,Coogee Beach,22/01/2016,58
26,Randwick Council,Coogee Beach,21/03/2014,57
26,Randwick Council,Coogee Beach,01/04/2015,57
26,Randwick Council,Coogee Beach,25/08/2015,55
26,Randwick Council,Coogee Beach,21/01/2015,52
26,Randwick Council,Coogee Beach,17/11/2015,50
26,Randwick Council,Coogee Beach,06/04/2013,49
26,Randwick Council,Coogee Beach,05/01/2017,49
26,Randwick Council,Coogee Beach,24/01/2013,48
26,Randwick Council,Coogee Beach,05/10/2018,47
26,Randwick Council,Coogee Beach,30/11/2016,46
26,Randwick Council,Coogee Beach,14/03/2018,45
26,Randwick Council,Coogee Beach,02/03/2018,45
26,Randwick Council,Coogee Beach,13/12/2014,42
26,Randwick Council,Coogee Beach,05/05/2015,42
26,Randwick Council,Coogee Beach,11/01/2017,42
26,Randwick Council,Coogee Beach,30/01/2017,42
26,Randwick Council,Coogee Beach,01/02/2018,42
26,Randwick Council,Coogee Beach,15/04/2016,41
26,Randwick Council,Coogee Beach,25/02/2014,40
26,Randwick Council,Coogee Beach,05/12/2016,40
26,Randwick Council,Coogee Beach,10/05/2016,40
26,Randwick Council,Coogee Beach,11/08/2014,39
26,Randwick Council,Coogee Beach,04/02/2017,39
26,Randwick Council,Coogee Beach,27/02/2017,38
26,Randwick Council,Coogee Beach,21/06/2018,38
26,Randwick Council,Coogee Beach,10/11/2016,37
26,Randwick Council,Coogee Beach,04/05/2017,37
26,Randwick Council,Coogee Beach,17/06/2013,35
26,Randwick Council,Coogee Beach,21/08/2014,35
26,Randwick Council,Coogee Beach,08/08/2013,34
26,Randwick Council,Coogee Beach,14/09/2016,33
26,Randwick Council,Coogee Beach,05/03/2015,32
26,Randwick Council,Coogee Beach,27/04/2015,31
26,Randwick Council,Coogee Beach,10/07/2018,31
26,Randwick Council,Coogee Beach,21/11/2013,30
26,Randwick Council,Coogee Beach,17/02/2013,30
26,Randwick Council,Coogee Beach,02/11/2014,30
26,Randwick Council,Coogee Beach,08/07/2016,30
26,Randwick Council,Coogee Beach,20/06/2017,30
26,Randwick Council,Coogee Beach,16/03/2017,30
26,Randwick Council,Coogee Beach,01/02/2014,29
26,Randwick Council,Coogee Beach,05/07/2016,28
26,Randwick Council,Coogee Beach,26/11/2014,27
26,Randwick Council,Coogee Beach,10/09/2013,26
26,Randwick Council,Coogee Beach,04/01/2016,26
26,Randwick Council,Coogee Beach,26/03/2018,26
26,Randwick Council,Coogee Beach,19/12/2014,25
26,Randwick Council,Coogee Beach,08/07/2015,25
26,Randwick Council,Coogee Beach,20/04/2016,25
26,Randwick Council,Coogee Beach,25/03/2015,24
26,Randwick Council,Coogee Beach,07/04/2017,24
26,Randwick Council,Coogee Beach,23/11/2016,23
26,Randwick Council,Coogee Beach,25/02/2018,23
26,Randwick Council,Coogee Beach,30/01/2013,22
26,Randwick Council,Coogee Beach,29/03/2014,22
26,Randwick Council,Coogee Beach,08/01/2014,22
26,Randwick Council,Coogee Beach,09/06/2015,22
26,Randwick Council,Coogee Beach,20/06/2016,22
26,Randwick Council,Coogee Beach,02/05/2018,22
26,Randwick Council,Coogee Beach,29/11/2015,21
26,Randwick Council,Coogee Beach,22/12/2016,21
26,Randwick Council,Coogee Beach,22/03/2016,21
26,Randwick Council,Coogee Beach,03/01/2018,21
26,Randwick Council,Coogee Beach,24/07/2013,20
26,Randwick Council,Coogee Beach,19/06/2014,20
26,Randwick Council,Coogee Beach,30/04/2014,20
26,Randwick Council,Coogee Beach,24/01/2014,20
26,Randwick Council,Coogee Beach,29/03/2016,20
26,Randwick Council,Coogee Beach,10/05/2017,20
26,Randwick Council,Coogee Beach,13/04/2017,20
26,Randwick Council,Coogee Beach,05/03/2014,19
26,Randwick Council,Coogee Beach,11/12/2015,19
26,Randwick Council,Coogee Beach,15/02/2017,19
26,Randwick Council,Coogee Beach,04/10/2013,18
26,Randwick Council,Coogee Beach,18/01/2013,18
26,Randwick Council,Coogee Beach,10/03/2016,18
26,Randwick Council,Coogee Beach,16/01/2016,18
26,Randwick Council,Coogee Beach,09/11/2017,18
26,Randwick Council,Coogee Beach,19/09/2018,18
26,Randwick Council,Coogee Beach,25/05/2013,17
26,Randwick Council,Coogee Beach,12/01/2013,17
26,Randwick Council,Coogee Beach,17/05/2015,17
26,Randwick Council,Coogee Beach,08/04/2016,17
26,Randwick Council,Coogee Beach,27/02/2016,17
26,Randwick Council,Coogee Beach,12/04/2013,16
26,Randwick Council,Coogee Beach,14/04/2014,16
26,Randwick Council,Coogee Beach,16/01/2014,16
26,Randwick Council,Coogee Beach,06/02/2015,16
26,Randwick Council,Coogee Beach,17/11/2016,16
26,Randwick Council,Coogee Beach,23/05/2016,16
26,Randwick Council,Coogee Beach,09/08/2016,16
26,Randwick Council,Coogee Beach,17/01/2017,16
26,Randwick Council,Coogee Beach,09/02/2017,16
26,Randwick Council,Coogee Beach,18/04/2013,15
26,Randwick Council,Coogee Beach,02/01/2013,15
26,Randwick Council,Coogee Beach,03/06/2016,15
26,Randwick Council,Coogee Beach,28/01/2016,15
26,Randwick Council,Coogee Beach,08/06/2018,15
26,Randwick Council,Coogee Beach,27/06/2018,15
26,Randwick Council,Coogee Beach,21/07/2015,14
26,Randwick Council,Coogee Beach,12/10/2015,14
26,Randwick Council,Coogee Beach,22/03/2017,14
26,Randwick Council,Coogee Beach,04/06/2018,14
26,Randwick Council,Coogee Beach,14/06/2017,13
26,Randwick Council,Coogee Beach,30/09/2014,12
26,Randwick Council,Coogee Beach,03/08/2017,12
26,Randwick Council,Coogee Beach,09/03/2017,12
26,Randwick Council,Coogee Beach,14/12/2017,12
26,Randwick Council,Coogee Beach,15/01/2018,12
26,Randwick Council,Coogee Beach,31/12/2013,11
26,Randwick Council,Coogee Beach,07/03/2013,11
26,Randwick Council,Coogee Beach,20/06/2015,11
26,Randwick Council,Coogee Beach,29/09/2015,11
26,Randwick Council,Coogee Beach,14/02/2015,11
26,Randwick Council,Coogee Beach,23/10/2017,11
26,Randwick Council,Coogee Beach,21/11/2017,11
26,Randwick Council,Coogee Beach,05/09/2018,11
26,Randwick Council,Coogee Beach,14/06/2018,11
26,Randwick Council,Coogee Beach,24/04/2013,10
26,Randwick Council,Coogee Beach,14/05/2013,10
26,Randwick Council,Coogee Beach,22/05/2014,10
26,Randwick Council,Coogee Beach,26/06/2015,10
26,Randwick Council,Coogee Beach,31/08/2015,10
26,Randwick Council,Coogee Beach,15/02/2016,10
26,Randwick Council,Coogee Beach,09/02/2016,10
26,Randwick Council,Coogee Beach,03/02/2016,10
26,Randwick Council,Coogee Beach,29/05/2017,10
26,Randwick Council,Coogee Beach,28/03/2017,10
26,Randwick Council,Coogee Beach,18/07/2013,9
26,Randwick Council,Coogee Beach,09/03/2015,9
26,Randwick Council,Coogee Beach,29/01/2015,9
26,Randwick Council,Coogee Beach,22/06/2016,9
26,Randwick Council,Coogee Beach,30/08/2018,9
26,Randwick Council,Coogee Beach,13/11/2013,8
26,Randwick Council,Coogee Beach,06/06/2013,8
26,Randwick Council,Coogee Beach,22/04/2014,8
26,Randwick Council,Coogee Beach,16/10/2014,8
26,Randwick Council,Coogee Beach,24/10/2015,8
26,Randwick Council,Coogee Beach,20/09/2016,8
26,Randwick Council,Coogee Beach,04/03/2016,8
26,Randwick Council,Coogee Beach,10/01/2016,8
26,Randwick Council,Coogee Beach,03/11/2017,8
26,Randwick Council,Coogee Beach,20/04/2018,8
26,Randwick Council,Coogee Beach,11/05/2018,8
26,Randwick Council,Coogee Beach,17/05/2018,8
26,Randwick Council,Coogee Beach,10/04/2018,8
26,Randwick Council,Coogee Beach,12/09/2018,8
26,Randwick Council,Coogee Beach,01/05/2013,7
26,Randwick Council,Coogee Beach,02/04/2013,7
26,Randwick Council,Coogee Beach,06/05/2014,7
26,Randwick Council,Coogee Beach,05/01/2015,7
26,Randwick Council,Coogee Beach,30/10/2015,7
26,Randwick Council,Coogee Beach,23/11/2015,7
26,Randwick Council,Coogee Beach,28/07/2017,7
26,Randwick Council,Coogee Beach,21/02/2017,7
26,Randwick Council,Coogee Beach,31/05/2013,6
26,Randwick Council,Coogee Beach,28/05/2014,6
26,Randwick Council,Coogee Beach,16/05/2014,6
26,Randwick Council,Coogee Beach,21/10/2014,6
26,Randwick Council,Coogee Beach,29/12/2015,6
26,Randwick Council,Coogee Beach,05/11/2016,6
26,Randwick Council,Coogee Beach,26/09/2016,6
26,Randwick Council,Coogee Beach,27/07/2016,6
26,Randwick Council,Coogee Beach,04/05/2016,6
26,Randwick Council,Coogee Beach,17/07/2017,6
26,Randwick Council,Coogee Beach,26/06/2017,6
26,Randwick Council,Coogee Beach,28/12/2017,6
26,Randwick Council,Coogee Beach,20/07/2018,6
26,Randwick Council,Coogee Beach,23/05/2018,6
26,Randwick Council,Coogee Beach,19/02/2018,6
26,Randwick Council,Coogee Beach,03/04/2018,6
26,Randwick Council,Coogee Beach,29/11/2013,5
26,Randwick Council,Coogee Beach,06/07/2013,5
26,Randwick Council,Coogee Beach,12/05/2014,5
26,Randwick Council,Coogee Beach,15/07/2015,5
26,Randwick Council,Coogee Beach,11/05/2015,5
26,Randwick Council,Coogee Beach,09/04/2015,5
26,Randwick Council,Coogee Beach,31/10/2016,5
26,Randwick Council,Coogee Beach,12/10/2016,5
26,Randwick Council,Coogee Beach,28/04/2016,5
26,Randwick Council,Coogee Beach,26/08/2016,5
26,Randwick Council,Coogee Beach,05/10/2017,5
26,Randwick Council,Coogee Beach,09/08/2017,5
26,Randwick Council,Coogee Beach,08/12/2017,5
26,Randwick Council,Coogee Beach,23/01/2017,5
26,Randwick Council,Coogee Beach,20/03/2018,5
26,Randwick Council,Coogee Beach,07/02/2018,5
26,Randwick Council,Coogee Beach,01/08/2018,5
26,Randwick Council,Coogee Beach,23/12/2013,4
26,Randwick Council,Coogee Beach,22/09/2013,4
26,Randwick Council,Coogee Beach,13/03/2013,4
26,Randwick Council,Coogee Beach,06/01/2013,4
26,Randwick Council,Coogee Beach,09/02/2014,4
26,Randwick Council,Coogee Beach,12/09/2014,4
26,Randwick Council,Coogee Beach,26/06/2014,4
26,Randwick Council,Coogee Beach,25/10/2014,4
26,Randwick Council,Coogee Beach,02/07/2015,4
26,Randwick Council,Coogee Beach,24/06/2016,4
26,Randwick Council,Coogee Beach,28/06/2016,4
26,Randwick Council,Coogee Beach,17/10/2017,4
26,Randwick Council,Coogee Beach,01/06/2017,4
26,Randwick Council,Coogee Beach,09/05/2017,4
26,Randwick Council,Coogee Beach,28/04/2017,4
26,Randwick Council,Coogee Beach,20/12/2017,4
26,Randwick Council,Coogee Beach,16/07/2018,4
26,Randwick Council,Coogee Beach,07/05/2018,4
26,Randwick Council,Coogee Beach,07/12/2013,3
26,Randwick Council,Coogee Beach,12/10/2013,3
26,Randwick Council,Coogee Beach,18/11/2014,3
26,Randwick Council,Coogee Beach,24/07/2014,3
26,Randwick Council,Coogee Beach,05/12/2015,3
26,Randwick Council,Coogee Beach,18/10/2015,3
26,Randwick Council,Coogee Beach,23/09/2015,3
26,Randwick Council,Coogee Beach,14/08/2015,3
26,Randwick Council,Coogee Beach,15/01/2015,3
26,Randwick Council,Coogee Beach,27/07/2015,3
26,Randwick Council,Coogee Beach,25/10/2016,3
26,Randwick Council,Coogee Beach,16/06/2016,3
26,Randwick Council,Coogee Beach,23/06/2016,3
26,Randwick Council,Coogee Beach,15/08/2016,3
26,Randwick Council,Coogee Beach,02/08/2016,3
26,Randwick Council,Coogee Beach,07/09/2017,3
26,Randwick Council,Coogee Beach,27/11/2017,3
26,Randwick Council,Coogee Beach,21/08/2018,3
26,Randwick Council,Coogee Beach,25/01/2018,3
26,Randwick Council,Coogee Beach,04/07/2018,3
26,Randwick Council,Coogee Beach,19/01/2018,3
26,Randwick Council,Coogee Beach,05/11/2013,2
26,Randwick Council,Coogee Beach,28/09/2013,2
26,Randwick Council,Coogee Beach,22/08/2013,2
26,Randwick Council,Coogee Beach,12/07/2013,2
26,Randwick Council,Coogee Beach,07/05/2013,2
26,Randwick Council,Coogee Beach,19/03/2013,2
26,Randwick Council,Coogee Beach,05/02/2013,2
26,Randwick Council,Coogee Beach,20/05/2013,2
26,Randwick Council,Coogee Beach,08/09/2014,2
26,Randwick Council,Coogee Beach,01/08/2014,2
26,Randwick Council,Coogee Beach,14/07/2014,2
26,Randwick Council,Coogee Beach,06/10/2015,2
26,Randwick Council,Coogee Beach,11/09/2015,2
26,Randwick Council,Coogee Beach,19/08/2015,2
26,Randwick Council,Coogee Beach,19/08/2016,2
26,Randwick Council,Coogee Beach,11/10/2017,2
26,Randwick Council,Coogee Beach,22/08/2017,2
26,Randwick Council,Coogee Beach,30/06/2017,2
26,Randwick Council,Coogee Beach,21/04/2017,2
26,Randwick Council,Coogee Beach,27/04/2018,2
26,Randwick Council,Coogee Beach,24/09/2018,2
26,Randwick Council,Coogee Beach,29/08/2013,1
26,Randwick Council,Coogee Beach,30/07/2013,1
26,Randwick Council,Coogee Beach,05/08/2014,1
26,Randwick Council,Coogee Beach,18/07/2014,1
26,Randwick Council,Coogee Beach,03/07/2014,1
26,Randwick Council,Coogee Beach,03/06/2015,1
26,Randwick Council,Coogee Beach,07/08/2015,1
26,Randwick Council,Coogee Beach,27/05/2015,1
26,Randwick Council,Coogee Beach,18/10/2016,1
26,Randwick Council,Coogee Beach,15/07/2016,1
26,Randwick Council,Coogee Beach,17/05/2016,1
26,Randwick Council,Coogee Beach,19/09/2017,1
26,Randwick Council,Coogee Beach,13/09/2017,1
26,Randwick Council,Coogee Beach,01/09/2017,1
26,Randwick Council,Coogee Beach,29/08/2017,1
26,Randwick Council,Coogee Beach,16/08/2017,1
26,Randwick Council,Coogee Beach,14/08/2018,1
26,Randwick Council,Coogee Beach,13/12/2013,0
26,Randwick Council,Coogee Beach,20/10/2013,0
26,Randwick Council,Coogee Beach,02/09/2013,0
26,Randwick Council,Coogee Beach,16/08/2013,0
26,Randwick Council,Coogee Beach,14/08/2013,0
26,Randwick Council,Coogee Beach,24/09/2014,0
26,Randwick Council,Coogee Beach,15/08/2014,0
26,Randwick Council,Coogee Beach,18/09/2014,0
26,Randwick Council,Coogee Beach,10/11/2014,0
26,Randwick Council,Coogee Beach,02/09/2014,0
26,Randwick Council,Coogee Beach,08/07/2014,0
26,Randwick Council,Coogee Beach,15/06/2015,0
26,Randwick Council,Coogee Beach,17/09/2015,0
26,Randwick Council,Coogee Beach,31/07/2015,0
26,Randwick Council,Coogee Beach,07/09/2016,0
26,Randwick Council,Coogee Beach,30/09/2016,0
26,Randwick Council,Coogee Beach,01/09/2016,0
26,Randwick Council,Coogee Beach,25/09/2017,0
26,Randwick Council,Coogee Beach,29/09/2017,0
26,Randwick Council,Coogee Beach,11/07/2017,0
26,Randwick Council,Coogee Beach,15/11/2017,0
26,Randwick Council,Coogee Beach,16/04/2018,0
26,Randwick Council,Coogee Beach,08/03/2018,0
26,Randwick Council,Coogee Beach,08/08/2018,0
26,Randwick Council,Coogee Beach,26/07/2018,0
26,Randwick Council,Coogee Beach,29/05/2018,0
26,Randwick Council,Coogee Beach,28/09/2018,0
26,Randwick Council,Coogee Beach,12/12/2016,NA
26,Randwick Council,Coogee Beach,11/10/2018,NA
26,Randwick Council,Coogee Beach,16/10/2018,NA
